model,best_cv_score,accuracy,precision,recall,f1_score,roc_auc,best_params
RandomForest,0.4309070877252696,0.9461883408071748,0.4953271028037383,0.8983050847457628,0.6385542168674698,0.9798407806882383,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
XGBoost,0.6592847430950481,0.9623318385650225,0.717948717948718,0.4745762711864407,0.5714285714285714,0.9686376476630714,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200}"
