model,best_cv_score,accuracy,precision,recall,f1_score,roc_auc,best_params
RandomForest,0.9576529668907776,0.9532428355957768,0.9223880597014925,0.9840764331210191,0.9522342064714946,0.9877767233040716,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
XGBoost,0.9535008758036332,0.947209653092006,0.926605504587156,0.964968152866242,0.9453978159126365,0.9885021809355209,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100}"
